query_id,source_query,draft_steps,full_generation_ms,first_exact6_ms,first_stable_exact6_ms,first_exact6_equals_final,first_stable_exact6_equals_final,final_exact6,first_exact6_subqueries,stable_exact6_subqueries,final_subqueries
q011,graph neural networks for molecular property prediction,7,393.490,243.120,392.650,False,True,True,"[""survey of graph neural networks for molecular property prediction"", ""message passing neural networks vs graph attention networks for chemistry"", ""self-supervised learning learning for molecular graph representations"", ""generative graph models for molecular design design and sampling"", ""molecular property benchmarks and datasets for graph neural networks"", ""limitations and challenges of graph neural networks in drug modeling""]","[""survey of graph neural networks for molecular property prediction"", ""message passing neural networks vs graph attention networks for chemistry"", ""self-supervised learning methods for molecular graph representations"", ""generative graph neural networks for molecular design and sampling"", ""molecular property benchmarks and datasets for graph neural networks"", ""limitations and challenges of graph neural networks in drug discovery""]","[""survey of graph neural networks for molecular property prediction"", ""message passing neural networks vs graph attention networks for chemistry"", ""self-supervised learning methods for molecular graph representations"", ""generative graph neural networks for molecular design and sampling"", ""molecular property benchmarks and datasets for graph neural networks"", ""limitations and challenges of graph neural networks in drug discovery""]"
q012,foundation models for protein structure and function,10,531.863,241.562,531.130,False,True,True,"[""survey of foundation models for protein structure prediction and function"", ""evolutionary scale models and transformer- for protein protein sequences"", ""self-supervised learning objectives objectives for protein sequence and embeddings"", ""diffusion models and generative models for protein de novo design"", ""benchmarks for protein foundation models functional functional annotation"", ""limitations and challenges of foundation models in structural biology""]","[""survey of foundation models for protein structure prediction and function"", ""evolutionary scale models and transformer-based protein language models"", ""self-supervised learning objectives for protein sequence-structure modeling"", ""diffusion models and generative architectures for protein de novo design"", ""benchmarks for protein foundation models on functional annotation"", ""limitations and challenges of foundation models in structural biology""]","[""survey of foundation models for protein structure prediction and function"", ""evolutionary scale models and transformer-based protein language models"", ""self-supervised learning objectives for protein sequence-structure modeling"", ""diffusion models and generative architectures for protein de novo design"", ""benchmarks for protein foundation models on functional annotation"", ""limitations and challenges of foundation models in structural biology""]"
q013,AI methods for drug repurposing,8,434.493,193.393,433.765,False,True,True,"[""review of artificial intelligence methods for drug repurposing strategies"", ""deep learning architectures for drug-target interaction prediction"", ""graphgraph and and unsupervised learning for drug drug repurposing"", ""generative models and diffusion models for drug repur discovery"", ""benchmarks and datasets for AI- drug drug repurposing"", ""limitations and challenges of AI- in drug repurposing""]","[""review of artificial intelligence methods for drug repurposing strategies"", ""deep learning architectures for drug-target interaction prediction"", ""graph neural networks and reinforcement learning in drug drugargeting"", ""generative models and transformers for de novo drug discovery"", ""benchmarks and datasets for evaluating AI based drug repurposing"", ""limitations and challenges of machine learning in clinical drug repurposing""]","[""review of artificial intelligence methods for drug repurposing strategies"", ""deep learning architectures for drug-target interaction prediction"", ""graph neural networks and reinforcement learning in drug drugargeting"", ""generative models and transformers for de novo drug discovery"", ""benchmarks and datasets for evaluating AI based drug repurposing"", ""limitations and challenges of machine learning in clinical drug repurposing""]"
q014,causal inference with deep learning in healthcare,9,483.947,241.915,483.227,False,True,True,"[""survey of causal inference using deep learning for healthcare"", ""deep learning architectures for causal treatment effect estimation in medicine"", ""variational autoencoders and generative for for causal discovery"", ""counterfactual inference and deep learning for healthcare data"", ""benchmarks and datasets for causal deep in healthcare"", ""limitations and interpretability challenges of deep causal causal models""]","[""survey of causal inference using deep learning in healthcare"", ""deep learning architectures for causal treatment effect estimation in medicine"", ""variational autoencoders and generative models for causal discovery"", ""counterfactual reasoning deep learning for clinical decision support"", ""benchmarks and datasets for causal inference in healthcare"", ""limitations and interpretability challenges of deep causal models""]","[""survey of causal inference using deep learning in healthcare"", ""deep learning architectures for causal treatment effect estimation in medicine"", ""variational autoencoders and generative models for causal discovery"", ""counterfactual reasoning deep learning for clinical decision support"", ""benchmarks and datasets for causal inference in healthcare"", ""limitations and interpretability challenges of deep causal models""]"
q015,privacy preserving federated learning for hospitals,8,443.358,248.928,346.467,False,True,True,"[""survey of privacy preserving federated learning in healthcare"", ""differential privacy and multi-party computation for medical image analysis"", ""secure aggregation algorithms for federated learning clinical clinical data"", ""inference attacks and mechanisms in medical federated learning"", ""benchmarks and datasets for federated learning in hospitals"", ""limitations and challenges of decentralized federated learning in clinical settings""]","[""survey of privacy preserving federated learning in healthcare"", ""differential privacy and multi-party computation for medical image analysis"", ""secure aggregation algorithms for federated learning clinical data"", ""inference attacks and defense mechanisms in medical federated learning"", ""benchmarks and datasets for federated learning in hospitals"", ""limitations and challenges of decentralized federated learning in clinical settings""]","[""survey of privacy preserving federated learning in healthcare"", ""differential privacy and multi-party computation for medical image analysis"", ""secure aggregation algorithms for federated learning clinical data"", ""inference attacks and defense mechanisms in medical federated learning"", ""benchmarks and datasets for federated learning in hospitals"", ""limitations and challenges of decentralized federated learning in clinical settings""]"
q016,medical image segmentation with vision transformers,7,388.190,242.844,387.451,False,True,True,"[""survey of vision transformers for medical image segmentation"", ""Unetet and hybrid transformer architectures for medical imaging"", ""self-supervised pre pretraining for medical vision transformers"", ""efficient vision transformers and real- medical segmentation"", ""bench and and metrics for medical medical segmentation"", ""limitations and computational challenges of transformers in clinical AI""]","[""survey of vision transformers for medical image segmentation"", ""Unetet and hybrid transformer architectures for medical imaging"", ""self-supervised learning pretraining for medical vision transformers"", ""efficient vision transformers for real-time medical segmentation"", ""benchmarks and datasets for medical transformer segmentation"", ""limitations and computational challenges of transformers in clinical AI""]","[""survey of vision transformers for medical image segmentation"", ""Unetet and hybrid transformer architectures for medical imaging"", ""self-supervised learning pretraining for medical vision transformers"", ""efficient vision transformers for real-time medical segmentation"", ""benchmarks and datasets for medical transformer segmentation"", ""limitations and computational challenges of transformers in clinical AI""]"
q017,uncertainty estimation in clinical AI systems,9,485.189,242.971,484.450,False,True,True,"[""definitions of aleatoric and epist uncertainty in clinical AI"", ""Bayesian neural networks and deep ensembles for medical imaging"", ""deepidential methods for uncertainty estimation in clinical decision learning"", ""Monte Carlo dropout and deep methods for clinical diagnosis"", ""benchmarks and datasets for uncertainty estimation in healthcare"", ""limitations and ethical challenges of uncertainty-aware clinical AI""]","[""definitions of aleatoric and epistemic uncertainty in healthcare"", ""Bayesian neural networks and deep ensembles for medical imaging"", ""evidential deep learning uncertainty estimation in clinical decision support"", ""Monte Carlo dropout and calibration methods for medical prediction"", ""benchmarks and datasets for uncertainty quantification in healthcare"", ""limitations and ethical challenges of uncertainty-aware clinical AI""]","[""definitions of aleatoric and epistemic uncertainty in healthcare"", ""Bayesian neural networks and deep ensembles for medical imaging"", ""evidential deep learning uncertainty estimation in clinical decision support"", ""Monte Carlo dropout and calibration methods for medical prediction"", ""benchmarks and datasets for uncertainty quantification in healthcare"", ""limitations and ethical challenges of uncertainty-aware clinical AI""]"
q018,large language models for radiology report generation,11,581.155,242.521,531.757,False,True,True,"[""large language models for automated radiology report generation survey"", ""multimodal large language models for medical imaging and radiology analysis"", ""fine-tuning strategies for LLMs in clinical clinical reporting"", ""prompt engineering and decoding strategies for for radiology text generation"", ""evaluation benchmarks and metrics for automated radiology report accuracy"", ""hallucination and clinical limitations of LLM generated radiology reports""]","[""large language models for automated radiology report generation survey"", ""multimodal large language models for medical imaging and radiology analysis"", ""fine-tuning strategies for LLMs in clinical radiology reporting"", ""prompt engineering and decoding methods for medical report text generation"", ""evaluation benchmarks and metrics for automated radiology report accuracy"", ""hallucination and clinical safety of LLM generated radiology reports""]","[""large language models for automated radiology report generation survey"", ""multimodal large language models for medical imaging and radiology analysis"", ""fine-tuning strategies for LLMs in clinical radiology reporting"", ""prompt engineering and decoding methods for medical report text generation"", ""evaluation benchmarks and metrics for automated radiology report accuracy"", ""hallucination and clinical safety of LLM generated radiology reports""]"
q019,self supervised learning for electronic health records,7,387.309,241.708,386.586,False,True,True,"[""survey of self-supervised learning for electronic health records"", ""transformer-based self-supervised models for EHR data"", ""pretext coding and contrastive learning for clinical health data"", ""temporal modeling and imputation strategies for longitudinal EHR records"", ""benchmarks and evaluation metrics for self-supervised EHR representation"", ""challenges and limitations of self-supervised learning in clinical healthcare""]","[""survey of self-supervised learning for electronic health records"", ""transformer-based self-supervised models for EHR data"", ""pretext tasks and contrastive learning in clinical sequence modeling"", ""temporal sampling and imputation strategies for longitudinal EHR records"", ""benchmarks and evaluation metrics for self-supervised EHR representations"", ""challenges and limitations of self-supervised learning in healthcare informatics""]","[""survey of self-supervised learning for electronic health records"", ""transformer-based self-supervised models for EHR data"", ""pretext tasks and contrastive learning in clinical sequence modeling"", ""temporal sampling and imputation strategies for longitudinal EHR records"", ""benchmarks and evaluation metrics for self-supervised EHR representations"", ""challenges and limitations of self-supervised learning in healthcare informatics""]"
q020,robustness of AI diagnosis under distribution shift,9,488.996,290.922,488.255,False,True,True,"[""definitions and taxonomy of robustness in medical AI under distribution shift"", ""deep learning models for medical imaging robustness under distribution shift"", ""domain adaptation and transfer learning for robust clinical diagnosis"", ""uncertainty quantification and out of distribution detection in clinical AI"", ""bench and and for for AI diagnostic robustness"", ""limitations and safety risks of AI diagnosis under distribution shift""]","[""definitions and taxonomy of robustness in medical AI under distribution shift"", ""deep learning models for medical imaging sensitive to covariate shift"", ""domain adaptation and transfer learning for robust clinical diagnosis"", ""uncertainty quantification and out of distribution detection in healthcare"", ""benchmarks and datasets for evaluating AI diagnostic robustness"", ""limitations and safety risks of AI diagnosis under distribution shift""]","[""definitions and taxonomy of robustness in medical AI under distribution shift"", ""deep learning models for medical imaging sensitive to covariate shift"", ""domain adaptation and transfer learning for robust clinical diagnosis"", ""uncertainty quantification and out of distribution detection in healthcare"", ""benchmarks and datasets for evaluating AI diagnostic robustness"", ""limitations and safety risks of AI diagnosis under distribution shift""]"
q021,reinforcement learning from human feedback,6,339.462,241.640,338.741,False,True,True,"[""reinforcement learning from human feedback survey and theoretical foundations"", ""large language model alignment via RLHF architectures and architectures"", ""proximal policy optimization vs direct preference optimization for RLHF"", ""reward model modeling and human preference techniques techniques"", ""benchmarks for metrics metrics for RL alignment"", ""ations and safety challenges in reinforcement learning in human feedback""]","[""reinforcement learning from human feedback survey and theoretical foundations"", ""large language model alignment via RLHF architectures and methods"", ""proximal policy optimization vs direct preference optimization in RLHF"", ""reward model training and human preference data techniques"", ""benchmarks and evaluation metrics for aligned models"", ""limitations and safety challenges in reinforcement learning from human feedback""]","[""reinforcement learning from human feedback survey and theoretical foundations"", ""large language model alignment via RLHF architectures and methods"", ""proximal policy optimization vs direct preference optimization in RLHF"", ""reward model training and human preference data techniques"", ""benchmarks and evaluation metrics for aligned models"", ""limitations and safety challenges in reinforcement learning from human feedback""]"
q022,offline reinforcement learning for robotics,8,436.948,241.793,388.284,False,True,True,"[""survey of offline reinforcement learning for robotic manipulation"", ""policy- and value-- offline offline RL robotics"", ""model-based offline reinforcement learning for robotic manipulation"", ""sim-to-real transfer reinforcement learning reinforcement robotic learning"", ""benchmarks and datasets for offline reinforcement RL"", ""challenges and distribution shift in offline RL for robotics""]","[""survey of offline reinforcement learning for robotic manipulation"", ""policy-constrained and value-based offline RL algorithms"", ""model-based offline reinforcement learning for continuous control"", ""sim-to-real transfer in offline reinforcement learning robotics"", ""benchmarks and datasets for offline reinforcement learning"", ""challenges and distribution shift in offline RL for robotics""]","[""survey of offline reinforcement learning for robotic manipulation"", ""policy-constrained and value-based offline RL algorithms"", ""model-based offline reinforcement learning for continuous control"", ""sim-to-real transfer in offline reinforcement learning robotics"", ""benchmarks and datasets for offline reinforcement learning"", ""challenges and distribution shift in offline RL for robotics""]"
q023,world models for embodied AI,9,486.916,292.163,486.171,False,True,True,"[""survey of world models for embodied artificial intelligence and robotics"", ""latent world models and generative world models for reinforcement learning"", ""unsupervised learning of world models in embodied agents"", ""planning-based control and sampling in learned world models"", ""benchmarks and datasets for evaluating world model accuracy"", ""challenges and limitations of world models in for real-time robotics""]","[""survey of world models for embodied artificial intelligence and robotics"", ""latent world models and generative world models for reinforcement learning"", ""unsupervised learning of world models in embodied agents"", ""planning-based control and sampling in learned world models"", ""benchmarks and datasets for evaluating world model accuracy"", ""challenges and limitations of world models in complex real-world environments""]","[""survey of world models for embodied artificial intelligence and robotics"", ""latent world models and generative world models for reinforcement learning"", ""unsupervised learning of world models in embodied agents"", ""planning-based control and sampling in learned world models"", ""benchmarks and datasets for evaluating world model accuracy"", ""challenges and limitations of world models in complex real-world environments""]"
q024,sim to real transfer for robot manipulation,12,628.678,386.635,531.199,False,True,True,"[""survey of sim-to-real transfer for robotic manipulation"", ""domain randomization vs domain adaptation in robot manipulation"", ""system identification and tactile sensing for sim-to-real"", ""deep reinforcement learning for real-world robot robot grasping"", ""sim-to-real benchmarks and datasets for manipulation"", ""challenges and limitations of physics-based sim in-- transfer""]","[""survey of sim-to-real transfer for robotic manipulation"", ""domain randomization vs domain adaptation in robot manipulation"", ""system identification and tactile sensing for sim-to-real"", ""deep reinforcement learning for real-world robot grasping transfer"", ""sim-to-real benchmarks and datasets for manipulation"", ""challenges and limitations of physics-based simulation in robot task transfer""]","[""survey of sim-to-real transfer for robotic manipulation"", ""domain randomization vs domain adaptation in robot manipulation"", ""system identification and tactile sensing for sim-to-real"", ""deep reinforcement learning for real-world robot grasping transfer"", ""sim-to-real benchmarks and datasets for manipulation"", ""challenges and limitations of physics-based simulation in robot task transfer""]"
q025,multi agent reinforcement learning coordination,7,387.156,194.165,386.398,False,True,True,"[""survey of multi-agent reinforcement learning coordination mechanisms and definitions"", ""centralized training decentralized execution MARL algorithms"", ""co protocols protocols in multi multi-agent reinforcement learning"", ""credit protocols and in multi-agentL"", ""benchbench and environments for multi-agent reinforcement reinforcement coordination"", ""scalability and and-stationarity in multi-agent reinforcement learning""]","[""survey of multi-agent reinforcement learning coordination mechanisms and definitions"", ""centralized training decentralized execution MARL algorithms"", ""coordination protocols and communication in multi-agent reinforcement learning"", ""credit assignment and reward decomposition in MARL"", ""benchmarks and environments for multi-agent reinforcement learning coordination"", ""scalability challenges and non-stationarity in multi-agent reinforcement learning""]","[""survey of multi-agent reinforcement learning coordination mechanisms and definitions"", ""centralized training decentralized execution MARL algorithms"", ""coordination protocols and communication in multi-agent reinforcement learning"", ""credit assignment and reward decomposition in MARL"", ""benchmarks and environments for multi-agent reinforcement learning coordination"", ""scalability challenges and non-stationarity in multi-agent reinforcement learning""]"
q026,safe exploration in reinforcement learning,8,452.906,299.125,452.171,False,True,True,"[""survey of safe reinforcement learning definitions and frameworks"", ""constrained Markov decision processes algorithms for safe exploration"", ""safety-constrained reinforcement learning using Lyapunov-based methods"", ""safe exploration via recovery-based methods in reinforcement learning"", ""reinforcement learning benchmarks for safety and robustness"", ""challenges and trade-offs in safe reinforcement learning methods""]","[""survey of safe reinforcement learning definitions and frameworks"", ""constrained Markov decision processes algorithms for safe exploration"", ""safety-constrained reinforcement learning using Lyapunov and barrier functions"", ""safe exploration via recovery-based methods in reinforcement learning"", ""reinforcement learning benchmarks for safety and robustness"", ""challenges and trade-offs in safe reinforcement learning deployment""]","[""survey of safe reinforcement learning definitions and frameworks"", ""constrained Markov decision processes algorithms for safe exploration"", ""safety-constrained reinforcement learning using Lyapunov and barrier functions"", ""safe exploration via recovery-based methods in reinforcement learning"", ""reinforcement learning benchmarks for safety and robustness"", ""challenges and trade-offs in safe reinforcement learning deployment""]"
q027,language guided robotic planning,7,397.143,251.421,396.430,False,True,True,"[""survey of language-guided robotic planning and task planning"", ""large language models for robotic task planning architectures"", ""fine-tuning methods for language-conditioned robot control"", ""zero-shot learning and for for robotic planning"", ""benchmarks and datasets for language-conditioned robotic manipulation"", ""limitations and generalization challenges in open- robotic planning""]","[""survey of language-guided robotic planning and task planning"", ""large language models for robotic task planning architectures"", ""fine-tuning methods for language-conditioned robot control"", ""zero-shot robotic planning using natural language instructions"", ""benchmarks and datasets for language-based robotic manipulation"", ""limitations and generalization challenges in open-vocabulary robotics""]","[""survey of language-guided robotic planning and task planning"", ""large language models for robotic task planning architectures"", ""fine-tuning methods for language-conditioned robot control"", ""zero-shot robotic planning using natural language instructions"", ""benchmarks and datasets for language-based robotic manipulation"", ""limitations and generalization challenges in open-vocabulary robotics""]"
q028,vision language action models for robots,10,533.319,290.580,532.589,False,True,True,"[""survey of vision language-action models for robotic manipulation"", ""large scale vision languagelanguage- models architectures RT-2 VVE"", ""pretraining and fine-tuning methods for robotic action policies"", ""inference strategies and diffusion policies for robotic action models"", ""benchmarks and datasets for evaluating vision-action evaluation"", ""limitations and challenges of VLA models in open robotics""]","[""survey of vision language-action models for robotic manipulation"", ""large scale vision language-action models architectures RT-2 PaLME"", ""pretraining and fine-tuning methods for robotic action policies"", ""inference strategies and diffusion policies for vision action models"", ""benchmarks and datasets for evaluating vision language action models"", ""limitations and challenges of generalist agents in embodied AI""]","[""survey of vision language-action models for robotic manipulation"", ""large scale vision language-action models architectures RT-2 PaLME"", ""pretraining and fine-tuning methods for robotic action policies"", ""inference strategies and diffusion policies for vision action models"", ""benchmarks and datasets for evaluating vision language action models"", ""limitations and challenges of generalist agents in embodied AI""]"
q029,imitation learning from human demonstrations,8,434.129,240.548,433.403,False,True,True,"[""survey of imitation learning from human demonstrations definitions"", ""behavioral cloning vs inverse reinforcement learning learning"", ""generative adversarial imitation learning for human learning"", ""diffusion models for learning learning learning learning"", ""benchmarks and datasets for robotic imitation learning"", ""distribution shift and robustness limitations in imitation learning""]","[""survey of imitation learning from human demonstrations definitions"", ""behavioral cloning vs inverse reinforcement learning methods"", ""generative adversarial imitation learning GAIL algorithms"", ""diffusion models for imitation learning from demonstrations"", ""benchmarks and datasets for robotic imitation learning"", ""distribution shift and covariate shift in imitation learning""]","[""survey of imitation learning from human demonstrations definitions"", ""behavioral cloning vs inverse reinforcement learning methods"", ""generative adversarial imitation learning GAIL algorithms"", ""diffusion models for imitation learning from demonstrations"", ""benchmarks and datasets for robotic imitation learning"", ""distribution shift and covariate shift in imitation learning""]"
